iter	Passed	Remaining
0	0	98
1	1	86
2	2	88
3	3	81
4	4	79
5	4	77
6	5	76
7	6	76
8	7	75
9	8	74
10	9	73
11	9	72
12	11	74
13	12	74
14	12	73
15	13	72
16	14	71
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	64
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	46	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	72	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
