iter	Passed	Remaining
0	165	165116
1	169	84643
2	172	57233
3	174	43432
4	177	35277
5	179	29752
6	182	25879
7	184	22916
8	187	20661
9	190	18830
10	193	17371
11	195	16126
12	199	15158
13	202	14247
14	205	13502
15	208	12808
16	211	12224
17	214	11678
18	216	11186
19	219	10771
20	222	10376
21	225	10023
22	228	9693
23	230	9360
24	232	9085
25	235	8830
26	237	8567
27	240	8354
28	242	8132
29	245	7947
30	248	7760
31	251	7595
32	253	7428
33	255	7273
34	259	7148
35	263	7045
36	265	6917
37	268	6800
38	271	6694
39	274	6595
40	277	6498
41	280	6399
42	283	6312
43	286	6231
44	288	6130
45	291	6053
46	294	5970
47	297	5905
48	301	5850
49	304	5787
50	307	5715
51	309	5636
52	311	5558
53	313	5494
54	315	5423
55	318	5372
56	321	5311
57	323	5246
58	325	5191
59	327	5129
60	330	5090
61	333	5043
62	339	5055
63	342	5012
64	345	4965
65	346	4909
66	349	4863
67	351	4812
68	353	4763
69	355	4717
70	356	4669
71	358	4620
72	361	4584
73	363	4544
74	365	4510
75	368	4474
76	369	4429
77	371	4391
78	373	4358
79	375	4321
80	378	4298
81	381	4266
82	382	4222
83	385	4207
84	388	4178
85	390	4154
86	392	4121
87	394	4088
88	397	4063
89	398	4033
90	400	4002
91	404	3992
92	406	3966
93	409	3944
94	412	3926
95	414	3901
96	416	3877
97	418	3849
98	420	3825
99	422	3803
100	424	3777
101	426	3755
102	429	3741
103	431	3718
104	434	3701
105	436	3680
106	438	3659
107	441	3644
108	443	3624
109	446	3610
110	448	3592
111	450	3570
112	453	3556
113	455	3537
114	457	3520
115	460	3508
116	461	3485
117	464	3468
118	466	3455
119	468	3436
120	471	3425
121	473	3406
122	475	3388
123	477	3373
124	479	3356
125	481	3339
126	483	3321
127	485	3305
128	486	3287
129	488	3271
130	490	3256
131	492	3238
132	494	3222
133	496	3206
134	498	3195
135	501	3185
136	515	3248
137	517	3235
138	519	3218
139	522	3206
140	523	3191
141	525	3174
142	529	3170
143	531	3157
144	534	3150
145	538	3147
146	541	3139
147	543	3130
148	547	3124
149	549	3115
150	553	3110
151	555	3101
152	558	3090
153	561	3082
154	563	3071
155	565	3061
156	567	3047
157	569	3036
158	571	3024
159	573	3012
160	575	3000
161	578	2992
162	580	2982
163	583	2974
164	585	2963
165	588	2957
166	590	2946
167	594	2943
168	597	2936
169	600	2931
170	602	2921
171	605	2913
172	607	2906
173	610	2897
174	613	2892
175	616	2884
176	618	2877
177	621	2868
178	623	2858
179	626	2852
180	628	2844
181	631	2840
182	634	2832
183	637	2826
184	639	2817
185	641	2807
186	644	2803
187	646	2794
188	650	2790
189	653	2787
190	657	2786
191	659	2777
192	662	2771
193	664	2761
194	667	2754
195	669	2744
196	670	2734
197	672	2725
198	675	2718
199	677	2710
200	680	2705
201	683	2700
202	688	2703
203	690	2694
204	692	2686
205	695	2679
206	697	2670
207	700	2665
208	702	2658
209	704	2651
210	707	2644
211	709	2636
212	711	2629
213	714	2622
214	716	2617
215	718	2609
216	721	2603
217	723	2596
218	725	2588
219	727	2579
220	729	2572
221	732	2568
222	734	2559
223	737	2554
224	740	2549
225	743	2544
226	745	2539
227	747	2531
228	749	2524
229	751	2516
230	753	2508
231	756	2503
232	758	2495
233	760	2488
234	762	2481
235	764	2474
236	766	2467
237	768	2460
238	770	2452
239	772	2445
240	774	2439
241	776	2431
242	778	2424
243	780	2416
244	782	2409
245	783	2402
246	785	2395
247	787	2388
248	789	2380
249	791	2374
250	804	2400
251	806	2393
252	808	2386
253	810	2379
254	812	2372
255	813	2364
256	815	2356
257	817	2350
258	819	2344
259	820	2336
260	822	2329
261	824	2321
262	826	2314
263	828	2308
264	830	2303
265	832	2297
266	834	2289
267	836	2283
268	837	2277
269	839	2269
270	841	2263
271	843	2257
272	845	2251
273	847	2244
274	849	2238
275	851	2232
276	852	2226
277	854	2220
278	861	2226
279	863	2219
280	865	2214
281	867	2208
282	869	2202
283	870	2194
284	872	2188
285	874	2183
286	876	2177
287	878	2171
288	880	2166
289	882	2160
290	883	2153
291	886	2148
292	888	2143
293	890	2137
294	891	2131
295	893	2125
296	895	2119
297	897	2114
298	899	2109
299	901	2103
300	903	2098
301	905	2093
302	907	2087
303	909	2082
304	911	2077
305	913	2071
306	915	2066
307	918	2063
308	920	2058
309	922	2053
310	924	2049
311	926	2043
312	928	2038
313	930	2033
314	932	2027
315	934	2021
316	935	2016
317	937	2010
318	939	2004
319	940	1999
320	942	1993
321	944	1987
322	945	1982
323	948	1978
324	952	1978
325	954	1973
326	956	1967
327	958	1963
328	960	1958
329	962	1953
330	963	1948
331	965	1943
332	967	1938
333	969	1932
334	972	1929
335	973	1923
336	975	1919
337	977	1914
338	979	1910
339	982	1907
340	984	1903
341	986	1898
342	989	1895
343	991	1891
344	994	1888
345	997	1885
346	999	1881
347	1001	1877
348	1003	1872
349	1006	1869
350	1008	1865
351	1010	1860
352	1013	1858
353	1015	1853
354	1017	1848
355	1019	1844
356	1021	1840
357	1023	1836
358	1026	1833
359	1028	1828
360	1030	1824
361	1033	1821
362	1035	1816
363	1037	1812
364	1039	1807
365	1041	1804
366	1044	1801
367	1046	1798
368	1049	1794
